item_id_2324,principle_2324,cz_wording_2324,pool2021_id,principle_2021pool,cz_wording_2021pool,wording_changed_2021_to_2023,note
1,Procedurální,Na začátku roku je pro mě důležité zřetelně stanovit pravidla fungování ve třídě.,1,Procedurální,Na začátku roku je pro mě důležité zřetelně stanovit pravidla fungování ve třídě.,False,
2,Procedurální,"Žákům jasně vysvětlím, na co kladu důraz při ústním zkoušení.",2,Procedurální,"Žákům jasně vysvětlím, na co kladu důraz při ústním zkoušení.",False,
3,Rovnost,Věnuji každému žákovi stejné množství času při ústní zkoušce.,4,Rovnost,Věnuji každému žákovi stejné množství času při ústní zkoušce.,False,
4,Potřeby,"Pokud žák prochází obtížnou životní situací, jako je například rozvod rodičů a podobně, při hodnocení jeho situaci zohledňuji.",5,Potřeby,"Pokud žák prochází obtížnou životní situací, jako je například rozvod rodičů a podobně, při hodnocení jeho situaci zohledňuji.",False,
5,Potřeby,"Věnuji více péče žákovi, který to podle mě nejvíce potřebuje.",6,Potřeby,"Věnuji více péče žákovi, který to podle mě nejvíce potřebuje.",False,
6,Procedurální,"Své žáky předem seznámím s tím, jakým způsobem řeším případné konflikty ve třídě.",7,Procedurální,"Své žáky předem seznámím s tím, jakým způsobem řeším případné konflikty ve třídě.",False,
7,Procedurální,"Žákům sdělím, že mohou kdykoliv konzultovat nesrovnalosti ve vyhodnocení písemky.",8,Procedurální,"Žákům sdělím, že mohou kdykoliv konzultovat nesrovnalosti ve vyhodnocení písemky.",False,
8,Procedurální,"Žákům předem oznamuji, jaká jsou kritéria pro hodnocení jejich písemných prací.",9,Procedurální,"Žákům předem oznamuji, jaká jsou kritéria pro hodnocení jejich písemných prací.",False,
9,Potřeby,"Při hodnocení zohledňuji, zda je pro konkrétního žáka předmět obtížný.",10,Potřeby,"Při hodnocení zohledňuji, zda je pro konkrétního žáka předmět obtížný.",False,
10,Rovnost,Věnuji problémům každého žáka stejnou míru pozornosti.,11,Rovnost,Věnuji problémům každého žáka stejnou míru pozornosti.,False,
11,Potřeby,"Žákovi, který má dlouhodobý problém s pochopením učiva, zadávám jiné domácí úkoly než ostatním žákům.",12,Potřeby,"Žákovi, který má dlouhodobý problém s pochopením učiva, zadávám jiné domácí úkoly než ostatním žákům.",False,
12,Zásluhy,"Žáky, kteří stihnou práci v hodině před termínem, oceňuji (například si žák může pracovat v hodině na svých věcech).",13,Zásluhy,"Žáky, kteří stihnou práci v hodině před termínem, oceňuji (například si žák může pracovat v hodině na svých věcech).",False,
13,Zásluhy,"Pokud žák během výuky splní úkol navíc, tak jeho snahu patřičně ocením.",14,Zásluhy,"Pokud žák během výuky splní úkol navíc, tak jeho snahu patřičně ocením.",False,
14,Rovnost,Všem žákům věnuji stejnou míru pozornosti.,15,Rovnost,Všem žákům věnuji stejnou míru pozornosti.,False,
15,Rovnost,Při hodnocení chování každého žáka používám vždy stejná kritéria.,16,Rovnost,Při hodnocení chování každého žáka používám vždy stejná kritéria.,False,
16,Rovnost,Se všemi žáky se snažím zacházet stejně.,18,Rovnost_r,S některými žáky zacházím jinak než s ostatními.,True,přeformulováno mezi 2022 a 2023; princip 2021 poolu = Rovnost_r; v 2021 poolu REVERZNÍ (Rovnost_r) → v 2023 přeformulováno na pozitivní
17,Potřeby,"Žákovi, který byl nemocný, dám čas navíc, aby se mohl látku doučit.",17,Potřeby,"Žákovi, který byl nemocný, dám čas navíc, aby se mohl látku doučit.",False,
18,Potřeby,"Zpočátku bych přizpůsobil hodnocení žáka, který by přišel do třídy z jiné školy.",19,Potřeby,"Zpočátku bych přizpůsobil hodnocení žáka, který by přišel do třídy z jiné školy.",False,
19,Zásluhy,Výjimečnou snahu žáka v hodině ocením odpovídajícím způsobem.,20,Zásluhy,Výjimečnou snahu žáka v hodině ocením odpovídajícím způsobem.,False,
20,Zásluhy,"Oceňuji žáka, který úspěšně reprezentuje školu na vědomostní soutěži.",21,Zásluhy,"Oceňuji žáka, který úspěšně reprezentuje školu na vědomostní soutěži.",False,
21,Zásluhy,"Dávám uznání žákovi, který projevil snahu nad rámec zadaného úkolu.",22,Zásluhy,"Dávám uznání žákovi, který projevil snahu nad rámec zadaného úkolu.",False,
22,Rovnost,Při zkoušení se snažím všechny žáky vyvolávat se stejnou pravidelností.,23,Rovnost,Při zkoušení vyvolávám všechny žáky rovnoměrně.,True,přeformulováno mezi 2022 a 2023
23,Procedurální,"Vysvětlím žákům, jak si mají dávat vrstevnickou zpětnou vazbu, například při vzájemném hodnocení prací.",24,Procedurální,"Vysvětlím žákům, jak si mají dávat vrstevnickou zpětnou vazbu, například při vzájemném hodnocení prací.",False,
24,Procedurální,Žákům dávám prostor pro spoluvytvoření si pravidel chování ve třídě.,28,Procedurální,Žákům dávám prostor pro spoluvytvoření si pravidel chování ve třídě.,False,
25,Zásluhy,"Oceňuji žáka, který dokáže zrealizovat nejrůznější třídní aktivity.",31,Zásluhy,"Oceňuji žáka, který dokáže zrealizovat nejrůznější třídní aktivity.",False,
26,Procedurální,"Je pro mě důležité, abych měl pro žáky jasná kritéria, podle kterých je hodnotím.",36,Procedurální,"Je pro mě důležité, abych měl pro žáky jasná kritéria, podle kterých je hodnotím.",False,
