,Equality,Need,Merit/desert (equity),Difference principle,Sufficiency,Fair equality of opportunity,Luck egalitarianism,Capabilities approach,Procedural justice,Interpersonal justice,Informational justice,Retributive justice,Restorative justice,Corrective (rectificatory) justice,Compensatory justice,Social justice,Commutative justice,Justice as fairness,Complex equality (spheres),Recognition justice,Relational equality,Entitlement (libertarian) justice,Utilitarian justice,Formal justice (impartiality)
Equality,0.0,0.381928,0.459121,0.626215,0.531011,0.499548,0.566281,0.621602,0.671142,0.673264,0.687508,0.71852,0.780763,0.728939,0.720221,0.604602,0.603723,0.711682,0.602209,0.659016,0.518395,0.570566,0.612493,0.586098
Need,0.381928,0.0,0.404709,0.586354,0.457904,0.65222,0.638547,0.594453,0.707793,0.734961,0.730753,0.671901,0.737882,0.705145,0.727391,0.624562,0.628311,0.737195,0.577202,0.658063,0.627326,0.655881,0.590896,0.691853
Merit/desert (equity),0.459121,0.404709,-0.0,0.567954,0.516244,0.578601,0.557793,0.583729,0.616485,0.635676,0.653217,0.53787,0.716306,0.571143,0.640136,0.569967,0.540999,0.679018,0.543555,0.60233,0.59119,0.529588,0.533224,0.63396
Difference principle,0.626215,0.586354,0.567954,0.0,0.515237,0.602076,0.473199,0.575764,0.684401,0.674865,0.739607,0.680564,0.750544,0.691522,0.69064,0.581121,0.667634,0.575546,0.536401,0.651111,0.54426,0.645976,0.483863,0.567005
Sufficiency,0.531011,0.457904,0.516244,0.515237,0.0,0.629114,0.549832,0.469058,0.6354,0.668515,0.660279,0.618306,0.714614,0.618142,0.61858,0.498744,0.54388,0.615983,0.488844,0.523389,0.478039,0.514636,0.460639,0.610607
Fair equality of opportunity,0.499548,0.65222,0.578601,0.602076,0.629114,0.0,0.453815,0.598297,0.640321,0.687754,0.685371,0.702857,0.71699,0.697499,0.695322,0.588691,0.613488,0.650493,0.60703,0.660385,0.559575,0.610332,0.669365,0.583631
Luck egalitarianism,0.566281,0.638547,0.557793,0.473199,0.549832,0.453815,0.0,0.520457,0.639562,0.660481,0.65078,0.64667,0.699642,0.645365,0.636217,0.52776,0.575877,0.541754,0.512119,0.571073,0.49469,0.55282,0.523823,0.586941
Capabilities approach,0.621602,0.594453,0.583729,0.575764,0.469058,0.598297,0.520457,0.0,0.61739,0.619393,0.654715,0.607843,0.651885,0.609979,0.589355,0.475441,0.563715,0.515528,0.500476,0.472634,0.501458,0.537592,0.443209,0.619455
Procedural justice,0.671142,0.707793,0.616485,0.684401,0.6354,0.640321,0.639562,0.61739,-0.0,0.399877,0.361192,0.568295,0.655672,0.59751,0.589703,0.552635,0.568388,0.549367,0.690469,0.603299,0.619486,0.602806,0.628855,0.493286
Interpersonal justice,0.673264,0.734961,0.635676,0.674865,0.668515,0.687754,0.660481,0.619393,0.399877,0.0,0.385101,0.583953,0.632617,0.611543,0.616627,0.520564,0.52778,0.604179,0.644243,0.536504,0.547528,0.591024,0.607352,0.530177
Informational justice,0.687508,0.730753,0.653217,0.739607,0.660279,0.685371,0.65078,0.654715,0.361192,0.385101,0.0,0.572977,0.677108,0.619145,0.566812,0.535016,0.545921,0.597455,0.714291,0.631119,0.634861,0.600622,0.624394,0.580655
Retributive justice,0.71852,0.671901,0.53787,0.680564,0.618306,0.702857,0.64667,0.607843,0.568295,0.583953,0.572977,0.0,0.441838,0.392643,0.370449,0.563753,0.527815,0.583447,0.657554,0.552983,0.578412,0.551437,0.580507,0.583845
Restorative justice,0.780763,0.737882,0.716306,0.750544,0.714614,0.71699,0.699642,0.651885,0.655672,0.632617,0.677108,0.441838,0.0,0.4958,0.505851,0.637878,0.630707,0.71411,0.710548,0.57775,0.562328,0.67844,0.713384,0.727285
Corrective (rectificatory) justice,0.728939,0.705145,0.571143,0.691522,0.618142,0.697499,0.645365,0.609979,0.59751,0.611543,0.619145,0.392643,0.4958,0.0,0.340916,0.563265,0.424751,0.616261,0.624348,0.507708,0.558295,0.535931,0.586136,0.576204
Compensatory justice,0.720221,0.727391,0.640136,0.69064,0.61858,0.695322,0.636217,0.589355,0.589703,0.616627,0.566812,0.370449,0.505851,0.340916,-0.0,0.551694,0.471703,0.604495,0.647758,0.538101,0.597849,0.544763,0.564447,0.610339
Social justice,0.604602,0.624562,0.569967,0.581121,0.498744,0.588691,0.52776,0.475441,0.552635,0.520564,0.535016,0.563753,0.637878,0.563265,0.551694,0.0,0.446264,0.531421,0.553075,0.504593,0.494105,0.556479,0.45685,0.58399
Commutative justice,0.603723,0.628311,0.540999,0.667634,0.54388,0.613488,0.575877,0.563715,0.568388,0.52778,0.545921,0.527815,0.630707,0.424751,0.471703,0.446264,0.0,0.548028,0.558429,0.553175,0.466127,0.486854,0.489663,0.538982
Justice as fairness,0.711682,0.737195,0.679018,0.575546,0.615983,0.650493,0.541754,0.515528,0.549367,0.604179,0.597455,0.583447,0.71411,0.616261,0.604495,0.531421,0.548028,0.0,0.616955,0.586186,0.574082,0.621494,0.490432,0.549635
Complex equality (spheres),0.602209,0.577202,0.543555,0.536401,0.488844,0.60703,0.512119,0.500476,0.690469,0.644243,0.714291,0.657554,0.710548,0.624348,0.647758,0.553075,0.558429,0.616955,0.0,0.528236,0.443244,0.590361,0.527787,0.585415
Recognition justice,0.659016,0.658063,0.60233,0.651111,0.523389,0.660385,0.571073,0.472634,0.603299,0.536504,0.631119,0.552983,0.57775,0.507708,0.538101,0.504593,0.553175,0.586186,0.528236,0.0,0.450465,0.560982,0.583714,0.600934
Relational equality,0.518395,0.627326,0.59119,0.54426,0.478039,0.559575,0.49469,0.501458,0.619486,0.547528,0.634861,0.578412,0.562328,0.558295,0.597849,0.494105,0.466127,0.574082,0.443244,0.450465,0.0,0.515817,0.515058,0.505227
Entitlement (libertarian) justice,0.570566,0.655881,0.529588,0.645976,0.514636,0.610332,0.55282,0.537592,0.602806,0.591024,0.600622,0.551437,0.67844,0.535931,0.544763,0.556479,0.486854,0.621494,0.590361,0.560982,0.515817,-0.0,0.529776,0.584493
Utilitarian justice,0.612493,0.590896,0.533224,0.483863,0.460639,0.669365,0.523823,0.443209,0.628855,0.607352,0.624394,0.580507,0.713384,0.586136,0.564447,0.45685,0.489663,0.490432,0.527787,0.583714,0.515058,0.529776,-0.0,0.579644
Formal justice (impartiality),0.586098,0.691853,0.63396,0.567005,0.610607,0.583631,0.586941,0.619455,0.493286,0.530177,0.580655,0.583845,0.727285,0.576204,0.610339,0.58399,0.538982,0.549635,0.585415,0.600934,0.505227,0.584493,0.579644,0.0
