"","mean","sd","median","skew","kurtosis","pct_ceiling","principle"
"item_01",6.57,0.714,7,-1.711,2.632,68,"procedural"
"item_02",6.555,0.746,7,-1.925,4.391,67.6,"procedural"
"item_03",5.281,1.402,5,-0.501,-0.375,25.1,"equality"
"item_04",5.09,1.348,5,-0.433,-0.115,17.3,"needs"
"item_05",4.698,1.235,5,-0.509,0.412,5.6,"needs"
"item_06",5.972,1.082,6,-0.955,0.582,40.1,"procedural"
"item_07",6.56,0.755,7,-1.893,3.526,68.5,"procedural"
"item_08",6.632,0.756,7,-2.538,7.375,75,"procedural"
"item_09",3.915,1.516,4,0.06,-0.603,5,"needs"
"item_10",5.634,1.342,6,-0.786,-0.088,34.9,"equality"
"item_11",4.241,1.43,4,-0.286,-0.375,4.3,"needs"
"item_12",5.359,1.3,6,-0.843,0.744,19.9,"merit"
"item_13",5.716,1.09,6,-0.654,0.186,28,"merit"
"item_14",5.472,1.358,6,-0.643,-0.224,29.4,"equality"
"item_15",5.117,1.611,5,-0.521,-0.584,27.2,"equality"
"item_16",5.552,1.506,6,-0.913,0.048,36.4,"equality"
"item_17",5.856,1.03,6,-0.775,0.511,31.5,"needs"
"item_18",5.249,1.343,5,-0.741,0.356,18.5,"needs"
"item_19",5.972,0.927,6,-0.643,0.199,33.9,"merit"
"item_20",5.879,1.091,6,-1.013,1.236,34.4,"merit"
"item_21",5.965,0.984,6,-0.718,0.248,36.3,"merit"
"item_22",6.183,1.058,7,-1.364,1.492,51.3,"equality"
"item_23",6.315,0.961,7,-1.624,3.147,56.3,"procedural"
"item_24",6.27,0.949,7,-1.155,0.516,54.4,"procedural"
"item_25",6.071,0.922,6,-0.666,-0.463,39.5,"merit"
"item_26",6.265,0.966,7,-1.408,1.948,53.4,"procedural"
