"node","bridge_strength","bridge_EI"
"item_01",0.167,0.126
"item_02",0.139,0.139
"item_03",0.19,0.145
"item_04",0.066,0.024
"item_05",0.179,0.026
"item_06",0.139,0.139
"item_07",0.318,0.274
"item_08",0.059,0.059
"item_09",0.174,-0.027
"item_10",0.35,0.341
"item_11",0.439,0.122
"item_12",0.097,0.097
"item_13",0.045,0.045
"item_14",0.082,-0.015
"item_15",0.456,-0.082
"item_16",0.083,0.033
"item_17",0.371,0.371
"item_18",0.231,0.215
"item_19",0.336,0.336
"item_20",0.117,0.108
"item_21",0.146,0.146
"item_22",0.534,0.417
"item_23",0.434,0.434
"item_24",0.323,0.159
"item_25",0.427,0.427
"item_26",0.494,0.442
