"node","Strength","ExpectedInfluence"
"item_01",0.889275834857856,0.848864262234791
"item_02",0.916123014374502,0.916123014374502
"item_03",0.733001495564479,0.688165575716719
"item_04",0.725250895194526,0.682953625653858
"item_05",0.669260435082024,0.51567378159645
"item_06",0.762959274671537,0.762959274671537
"item_07",0.814317431687988,0.769481511840228
"item_08",1.2509813201643,1.2509813201643
"item_09",0.906722817620071,0.704944255582575
"item_10",0.965962371895769,0.956744449981195
"item_11",0.900082682842317,0.583058786900985
"item_12",0.55262541313761,0.55262541313761
"item_13",0.862616671818283,0.862616671818283
"item_14",1.02169022771189,0.925050674979656
"item_15",1.14162711869053,0.603726080276238
"item_16",0.954545514310073,0.90399077564074
"item_17",0.851180687148402,0.851180687148402
"item_18",0.797708297848637,0.782471465546914
"item_19",1.2042447293912,1.2042447293912
"item_20",0.880018510182179,0.870800588267605
"item_21",1.07084520760086,1.07084520760086
"item_22",0.927927739888778,0.81098320065526
"item_23",1.10546881485095,1.10546881485095
"item_24",0.982183586619206,0.817417040444073
"item_25",1.02863514831662,1.02863514831662
"item_26",0.883610951819986,0.831372634010497
